"","T0","T1","T2","T2.5","T3","T3.5","T4","T5","Urysohn","Semiregular","Regular","CompletelyRegular","Normal","CompletelyNormal","PerfectlyNormal","Compact","sigmaCompact","Lindelof","CountablyCompact","SequentiallyCompact","WeakCountCompact","Pseudocompact","LocallyCompact","StrongLocCompact","sigmaLocallyCompact","Separable","SecondCountable","FirstCountable","CountChainCond","Paracompact","Metacompact","CountParacompact","CountMetacompact","FullyNormal","FullyT4","Connected","PathConnected","ArcConnected","Hyperconnected","Ultraconnected","LocallyConnected","LocalPathConnected","LocalArcConnected","Biconnected","HasDispersionPoint","TotallyPathDisc","TotallyDisconnected","TotallySeparated","ExtremallyDisc","ZeroDimensional","Scattered","Discrete","Metrizable","sigmaLocallyFiniteBase","TopolComplete","SecondCategory","Countable","CardLessThanC","Card=C","CardNotExc2^C","StronglyConnected"
"Example20",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,NA,1
"Example21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,NA,1
"Example22",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,1,1,1
"Example23",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0
"Example24",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,NA,1,0,NA,NA,NA,0
"Example25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,NA,1,0,NA,NA,NA,0
"Example26",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,NA,1,1,1,0,1,0
"Example27",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,NA,1,0,NA,NA,NA,0
"Example28",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0
"Example29",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0
